dataset_name,description,resource_type,metadata_created_date,identifier,doi,publisher,maintainer,a_id,data_last_modified,public_access,data_first_published
Process-guided deep learning water temperature predictions: 1 Spatial data (GIS polygons for 68 lakes),"This dataset provides shapefile of outlines of the 68 lakes where temperature was modeled as part of this study. The format is a shapefile for all lakes combined (.shp, .shx,...",Dataset,"June 1, 2023",0dbd0f39-6888-457f-bb70-7089b533a732,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/bd51c2e8ace940bdda19f8955aece77f,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 4a Lake Mendota detailed training data,"This dataset includes compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological Research Program...",Dataset,"June 1, 2023",f356b6d1-c962-45ef-8f1f-b2c6207cb942,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/025d8f9435d9f9622c972c31e82398eb,2020-08-20,public,Not available
Data release: Walleye Thermal Optical Habitat Area (TOHA) of selected Minnesota lakes,Climate change and land use change have been shown to influence lake temperatures and water clarity in different ways. To better understand the diversity of lake responses to climate change...,Dataset,"June 1, 2023",856a634c-8b47-451b-82fe-809a44c0449f,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/4ad5f96f73c1f4672590d3dbf907ca84,2021-07-21,public,Not available
Process-guided deep learning water temperature predictions: 3b Sparkling Lake inputs,"This dataset includes model inputs that describe local weather conditions for Sparkling Lake, WI. Weather data comes from two sources: locally measured (2009-2017) and gridded estimates (all other time periods)....",Dataset,"May 31, 2023",419828a5-d82b-49a2-b7bb-fe4ada2051c8,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/d7e3c0cee925f0575dbfdab65005ef34,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 4b Sparkling Lake detailed training data,"This dataset includes compiled water temperature data from an instrumented buoy on Sparkling Lake, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological Research Program...",Dataset,"May 31, 2023",b63c9e46-ffe3-4f42-ad28-93b5bdcd1b32,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/493918c2e367fb3c4c9c5c5ebe278c01,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 4a Lake Mendota detailed training data,"This dataset includes compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological Research Program...",Dataset,"May 31, 2023",861251c5-820f-47d7-ae4b-40dd5ba54f98,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/85993cc47f29db214486fa6b4fe57749,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 3c All lakes historical inputs,This dataset includes model inputs that describe weather conditions for the 68 lakes included in this study. Weather data comes from gridded estimates (Mitchell et al. 2004). There are two...,Dataset,"June 1, 2023",1ae3719e-c892-4227-9a8e-169367b81b8b,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/32936d0dc0f93d3d03ee8f813181d5e1,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 3 Model inputs (meteorological inputs and ice flags),"This dataset includes model inputs (specifically, weather and flags for predicted ice-cover) and is part of a larger data release of lake temperature model inputs and outputs for 68 lakes...",Dataset,"May 31, 2023",e1b7de03-92ae-44fe-a737-63bf107a858f,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/f1ec6016798aa85c9446c91c2bc9173d,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 3b Sparkling Lake inputs,"This dataset includes model inputs that describe local weather conditions for Sparkling Lake, WI. Weather data comes from two sources: locally measured (2009-2017) and gridded estimates (all other time periods)....",Dataset,"May 31, 2023",eda1bee5-e03d-4658-9b01-e9e2e0b3e0cd,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/f71dde5d151a118711ba3f379ce2b76f,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 3c All lakes historical inputs,This dataset includes model inputs that describe weather conditions for the 68 lakes included in this study. Weather data comes from gridded estimates (Mitchell et al. 2004). There are two...,Dataset,"May 31, 2023",53b16dc0-5aa0-481e-a7a1-c00668a5bd53,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/2cb0c6b5abd89bd6dd061026958a3b79,2020-08-20,public,Not available
"Datasets for manuscript ""Predicting chemical end-of-life scenarios using structure-based classification models""","As described in the README.md file, the GitHub repository github.com/USEPA/PRTR-QSTR-models/tree/data-driven are Python scripts written to run Quantitative Structure–Transfer Relationship (QSTR) models based on chemical structure-based machine learning (ML) models for...",Not available,"April 1, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Model predictions for heterogeneous stream-reservoir graph networks with data assimilation,"<p>This data release provides the predictions from stream temperature models described in Chen et al. 2021. Briefly, various deep learning and process-guided deep learning models were built to test improved...",Dataset,"June 1, 2023",USGS:614e0b38d34e0df5fb98a0b7,Not available,U.S. Geological Survey,Xiaowei Jia,http://datainventory.doi.gov/id/dataset/e0dda741d54dbebad6663dba3bf404b5,20230104,public,Not available
Down-looking camera images of round goby (Neogobius melanostomus) within constructed sand and cobble habitats in laboratory microcosms Nov. 2021 – Jan. 2022,"These data include down-looking images of round goby (Neogobius melanostomus) in either cobble or sand substrates within clear acrylic enclosures (0.86-meters (m) long, by 0.56-m wide, by 1.07-m high). Ten...",Dataset,"July 22, 2024",USGS:64e783a3d34eeb681137f493,Not available,U.S. Geological Survey,Nicholas J Yeager,http://datainventory.doi.gov/id/dataset/fe586205bff2fc3615d2522506f64f46,20240719,public,Not available
"Data and Model Archive for Preliminary Machine Learning Models of Manganese and 1,4-Dioxane in Groundwater on Long Island, New York","Data and preliminary machine-learning models used to predict manganese and 1,4-dioxane in groundwater on Long Island are documented in this data release. Concentration data used to develop the models were...",Dataset,"June 1, 2023",USGS:614d0486d34e0df5fb986a43,Not available,U.S. Geological Survey,Leslie A Desimone,http://datainventory.doi.gov/id/dataset/eed508fca940848e40289f394a0cc2fc,20230322,public,Not available
Process-guided deep learning water temperature predictions: 5 Model prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. states of Minnesota and Wisconsin. Process-Based (PB) models...,Dataset,"May 31, 2023",cec2780a-4455-408e-9bb5-b25a7154c23f,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/0d8896d9c5855b8dc857553ad90aefff,2020-08-20,public,Not available
Machine-learning model predictions and rasters of arsenic and manganese in groundwater in the Mississippi River Valley alluvial aquifer,Groundwater from the Mississippi River Valley alluvial aquifer (MRVA) is a vital resource for agriculture and drinking-water supplies in the central United States. Water availability can be limited in some...,Dataset,"June 1, 2023",USGS:5f4fe48082ce4c3d12350325,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/d2ad1791248e5d5f537694572886909c,20211203,public,Not available
Process-guided deep learning water temperature predictions: 6b Sparkling Lake detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Sparkling Lake, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"May 31, 2023",46f86984-6c07-46d1-847d-1610abac21b9,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/e677d10cc99bf333a0b436a26d6cf400,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 6b Sparkling Lake detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Sparkling Lake, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"May 31, 2023",9daccaae-36e9-410f-91e2-2f95220f8e9e,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/b68386f2b56980a600ec6b405a38d04a,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 6c All lakes historical evaluation data,"This dataset includes evaluation data (""test"" data) and performance metrics for water temperature predictions from multiple modeling frameworks. Process-Based (PB) models were configured and calibrated with training data to reduce...",Dataset,"May 31, 2023",20691577-d0e8-4a16-b6b5-2ca248d3e282,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/17a90f5bf2b4922889b2fa2604bb6101,2020-08-20,public,Not available
"Machine-learning model predictions and rasters of dissolved oxygen probability, iron concentration, and redox conditions in groundwater in the Mississippi River Valley alluvial and Claiborne aquifers",Groundwater is a vital resource in the Mississippi embayment physiographic region (Mississippi embayment) of the central United States and can be limited in some areas by high concentrations of trace...,Dataset,"June 1, 2023",USGS:5e7522e2e4b01d50926e74fb,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/e05bf80e1c6c5b9e57982505204e8a11,20201214,public,Not available
Process-guided deep learning water temperature predictions: 5c All lakes historical prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. states of Minnesota and Wisconsin. Process-Based (PB) models...,Dataset,"May 31, 2023",db922a51-1426-4d26-a49c-1d15f84e56df,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/bfc814f7ecaa3acd6019a0915599ab0a,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 6a Lake Mendota detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"June 1, 2023",68ac809a-3eb2-4220-ba86-e679b95ac980,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/88c07beae604aac34755a71ff48ddca9,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 5 Model prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. states of Minnesota and Wisconsin. Process-Based (PB) models...,Dataset,"June 1, 2023",f963b3c6-758b-410f-9de7-fa4f974d57e1,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/6f6ee602ec42aefeaa4333430d75fdc1,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 5c All lakes historical prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. states of Minnesota and Wisconsin. Process-Based (PB) models...,Dataset,"June 1, 2023",2dc76bea-2874-4392-bbd6-f2e422e7b681,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/1baa7ebcacfd1c1293fe863cc039f786,2020-08-20,public,Not available
Walleye Thermal Optical Habitat Area (TOHA) of selected Minnesota lakes: 5 Model prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. state of Minnesota. Uncalibrated models used default configurations...,Dataset,"June 1, 2023",USGS:5e5d0bb9e4b01d50924f2b36,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/dfec92b85197b762e3234b014818b13f,20210721,public,Not available
"1 Site Information: Deep learning approaches for improving prediction of daily stream temperature in data-scarce, unmonitored, and dammed basins","<p>This data release component contains shapefiles of river basin polygons and monitoring site locations coincident with the outlets of those basins. A table of basin attributes is also supplied. Attributes,...",Dataset,"June 1, 2023",USGS:606db85fd34e670a7d5f61f0,Not available,U.S. Geological Survey,Farshid Rahmani,http://datainventory.doi.gov/id/dataset/71e9bf92cc4d97ddc072261f601bdbc2,20210927,public,Not available
Process-guided deep learning water temperature predictions: 6 Model evaluation (test data and RMSE),"This dataset includes evaluation data (""test"" data) and performance metrics for water temperature predictions from multiple modeling frameworks. Process-Based (PB) models were configured and calibrated with training data to reduce...",Dataset,"June 1, 2023",9398d538-2097-4924-b252-54ae9eb5422a,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/eda9bcfd405808d0d2678630b50bfdf8,2020-08-20,public,Not available
Point data for four case studies related to testing of multi-order hydrologic position,The location of a point (or pixel) within the conterminous U.S. can be assigned based on its position relative to the Nation’s stream network. Two metrics are recognized: lateral position...,Dataset,"June 1, 2023",USGS:5ced4d1de4b02eb068de9227,Not available,U.S. Geological Survey,Kenneth Belitz,http://datainventory.doi.gov/id/dataset/127f2a1be230c09641819bc275291171,20200826,public,Not available
Process-guided deep learning water temperature predictions: 6c All lakes historical evaluation data,"This dataset includes evaluation data (""test"" data) and performance metrics for water temperature predictions from multiple modeling frameworks. Process-Based (PB) models were configured and calibrated with training data to reduce...",Dataset,"June 1, 2023",cb79e8ca-6b15-42a0-bb27-8c9584161404,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/fc88c35d1f5dbef6a0fe3f6a0396f13d,2020-08-20,public,Not available
SolDet: Solitonic feature detection package,"SolDet is an object-oriented package for solitonic feature detection in absorption images of Bose-Einstein condensate. with wider use for cold atom image analysis. Featured with classifier, object detector, and Mexican...",Dataset,"June 22, 2022",ark:/88434/mds2-2641,Not available,National Institute of Standards and Technology,Justyna Zwolak,Not available,2022-05-10 00:00:00,public,Not available
Data and model code used to evaluate a process-guided deep learning approach for in-stream dissolved oxygen prediction,This model archive contains data and code used to assess the use of process-informed multi-task deep learning models for predicting in-stream dissolved oxygen concentrations. Three holdout experiments were run to...,Dataset,"September 26, 2024",USGS:649600a6d34ef77fcb01e736,Not available,U.S. Geological Survey,Jeffrey M. Sadler,http://datainventory.doi.gov/id/dataset/62a9d641c690cadacb6475c033d889ac,20240923,public,Not available
1. Model code for model archive: Identifying structural priors in a hybrid differentiable model for stream water temperature modeling,<p>This section provides model code described by Rahmani et al. (2023b). This code accepts basin attributes and forcings and predicts stream temperatures using a differentiable model with neural network and...,Dataset,"December 7, 2023",USGS:648f9bbdd34ef77fcb001ffc,Not available,U.S. Geological Survey,Farshid Rahmani,http://datainventory.doi.gov/id/dataset/85b4e8e4c104ddc8f8aa844a56e46b08,20231128,public,Not available
Process-guided deep learning water temperature predictions: 4 Training data,"This dataset includes compiled water temperature data from a variety of sources, including the Water Quality Portal (Read et al. 2017), the North Temperate Lakes Long-TERM Ecological Research Program (https://lter.limnology.wisc.edu/),...",Dataset,"June 1, 2023",USGS:5d8a42e3e4b0c4f70d0ae5fd,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/a2731f8a13c1818342c74dc94abda6c8,20200820,public,Not available
Dissolved oxygen probability rasters of groundwater in the Mississippi River Valley alluvial and Claiborne aquifers,Groundwater is a vital resource in the Mississippi embayment physiographic region (Mississippi embayment) of the central United States and can be limited in some areas by high concentrations of trace...,Dataset,"June 1, 2023",USGS:5e82356ae4b01d50927949f9,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/abc673cdc1f4a97385079e24795f09df,20220504,public,Not available
Data release: Process-guided deep learning predictions of lake water temperature,Climate change has been shown to influence lake temperatures in different ways. To better understand the diversity of lake responses to climate change and give managers tools to manage individual...,Dataset,"May 31, 2023",592f1901-008e-4f3a-800c-3bcf9f6f449a,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/0e633bf2ffec70812ff3916bc32f75c5,2020-08-20,public,Not available
Process-guided deep learning water temperature predictions: 3a Lake Mendota inputs,"This dataset includes model inputs that describe local weather conditions for Lake Mendota, WI. Weather data comes from two sources: locally measured (2009-2017) and gridded estimates (all other time periods)....",Dataset,"June 1, 2023",995339ee-0ed4-46bc-9d35-6e511fb594c6,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/97f28a6c6a53724e1a236e824bb657e3,2020-08-20,public,Not available
Predicting water temperature in the Delaware River Basin: 5 Model prediction data,<p>Several models were used to improve water temperature prediction in the Delaware River Basin. <p>PRMS-SNTemp was used to predict daily temperatures at 456 stream reaches in the Delaware River Basin....,Dataset,"June 1, 2023",USGS:5f6a28a782ce38aaa2449137,Not available,U.S. Geological Survey,Samantha K. Oliver,http://datainventory.doi.gov/id/dataset/25942ec43ce2195dd27d087c22332966,20210817,public,Not available
Predictive soil property map: Rock content (&gt;2mm),These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b31282ce172707ed7195,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/5f35b7b7a68fd95af9f5738a3f42cae0,20200827,public,Not available
Projected Temperature and Ozone Data for Ren et al. Bayesian Ensemble Manuscript,"This dataset contains projected temperature and ozone data provided by EPA's Office of Research and Development in support of the manuscript ""A Flexible Bayesian Ensemble Machine Learning Framework for Predicting...",Not available,"April 21, 2022",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Coastal Change Likelihood in the U.S. Northeast Region: Maine to Virginia - Maximum Change Likelihood,"Coastal resources are increasingly impacted by erosion, extreme weather events, sea-level rise, tidal flooding, and other potential hazards related to climate change. These hazards have varying impacts on coastal landscapes...",Dataset,"June 1, 2023",USGS:6197cb8dd34eb622f692ee19,Not available,U.S. Geological Survey,Travis K Sterne,http://datainventory.doi.gov/id/dataset/d0232099d648f3d9fe2a7e064e09f68b,20230228,public,Not available
Quantitative structure activity relationships (QSARs) and machine learning models for abiotic reduction of organic compounds by an aqueous Fe(II) complex,"Due to the increasing diversity of organic contaminants discharged into anoxic water environments, reactivity prediction is necessary for chemical persistence evaluation for water treatment and risk assessment purposes. Almost all...",Not available,"March 13, 2021",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Coastal Change Likelihood in the U.S. Northeast Region: Maine to Virginia - Fabric Dataset,"Coastal resources are increasingly impacted by erosion, extreme weather events, sea-level rise, tidal flooding, and other potential hazards related to climate change. These hazards have varying impacts on coastal landscapes...",Dataset,"June 1, 2023",USGS:61781f88d34e4c6b7fe2a444,Not available,U.S. Geological Survey,Travis K Sterne,http://datainventory.doi.gov/id/dataset/d1a3faa305d4d45fd991a4f4cb8daf4a,20230228,public,Not available
Trojan Detection Software Challenge - nlp-summary-jan2022-train,"Round 9 Train DatasetThis is the training data used to construct and evaluate trojan detection software solutions. This data, generated at NIST, consists of natural language processing (NLP) AIs trained...",Dataset,"February 3, 2022",ark:/88434/mds2-2539,Not available,National Institute of Standards and Technology,Michael Paul Majurski,Not available,2022-01-24 00:00:00,public,2022-01-26
A deep learning model and associated data to support understanding and simulation of salinity dynamics in Delaware Bay,Salinity dynamics in the Delaware Bay estuary are a critical water quality concern as elevated salinity can damage infrastructure and threaten drinking water supplies. Current state-of-the-art modeling approaches use hydrodynamic...,Dataset,"September 19, 2023",USGS:6421bccdd34e807d39ba9099,Not available,U.S. Geological Survey,Galen A. Gorski,http://datainventory.doi.gov/id/dataset/e8b42e452fdf04e0733759ba55075a14,20230908,public,Not available
Predictive soil property map: Depth to top of first restrictive layer,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b1d982ce172707ed65ba,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/4a4a7e7f81b9aeef817884aa8c4fe358,20200827,public,Not available
Process-guided deep learning water temperature predictions: 6b Sparkling Lake detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Sparkling Lake, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"June 1, 2023",USGS:5d92507be4b0c4f70d0d059b,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/79ab33b252c068563622b766db0c69ba,20200820,public,Not available
Process-guided deep learning water temperature predictions: 2 Model configurations (lake metadata and parameter values),This dataset provides model specifications used to estimate water temperature from a process-based model (Hipsey et al. 2019). The format is a single JSON file indexed for each lake based...,Dataset,"May 31, 2023",3ca59f8b-9584-45da-8cdc-64eafedc9249,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/037a3e60060e9dbb31d73051d3bd909c,2020-08-20,public,Not available
Predictive soil property map: Fine sand content,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b2a582ce172707ed6de8,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/5c4143ccb34cc7139b57e5fb0d9b287f,20200827,public,Not available
Process-guided deep learning water temperature predictions: 4b Sparkling Lake detailed training data,"This dataset includes compiled water temperature data from an instrumented buoy on Sparkling Lake, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological Research Program...",Dataset,"May 31, 2023",82b05fdd-49a0-40ed-a0a2-d045e7f40258,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/0d1ce868423def33cd1cd4f1f28d4dfc,2020-08-20,public,Not available
"Deep learning approaches for improving prediction of daily stream temperature in data-scarce, unmonitored, and dammed basins","<p>This data release provides all data and code used in Rahmani et al. (2021b) to model stream temperature and assess results. Briefly, we modeled stream temperature at sites across the...",Dataset,"June 1, 2023",USGS:606b30ecd34edc0435c3662b,Not available,U.S. Geological Survey,Farshid Rahmani,http://datainventory.doi.gov/id/dataset/48f8b1e9ffef9ac8cd40b6dd54419148,20210927,public,Not available
Agricultural Research Word Vectors,This model was originally trained for use in a recommendation system to the Ag Data Commons that will automatically link viewers of one dataset to other directly relevant datasets and...,Dataset,"March 30, 2024",10.15482/USDA.ADC/1506066,Not available,Agricultural Research Service,"Parr, Cynthia",Not available,2024-02-15,public,Not available
Delaware River Basin Stream Salinity Machine Learning Models and Data,"This model archive contains the input data, model code, and model outputs for machine learning models that predict daily non-tidal stream salinity (specific conductance) for a network of 459 modeled...",Dataset,"October 13, 2024",USGS:6365866cd34ebe442507d0c7,Not available,U.S. Geological Survey,Jared D. Smith,http://datainventory.doi.gov/id/dataset/8d013300e1fbbf34fd9cafd2e91f4b5a,20241015,public,Not available
"Predicted Calving and Post-calving Season Resource Use of the Porcupine Caribou Herd During 2012–2018 With Future Projections for the 2030s, 2040s, and 2050s",This dataset contains rasters and polygon shapefiles related to predicted resource use of the Porcupine Caribou Herd (PCH) during the calving (26 May–10 June) and post-calving (11–30 June) seasons in...,Dataset,"June 1, 2023",USGS:ASC389,Not available,U.S. Geological Survey,"U.S. Geological Survey, Alaska Science Center",http://datainventory.doi.gov/id/dataset/193c529234b42a894044bfaf64097579,20210618,public,Not available
Towards a Structured Evaluation Methodology for Artificial Intelligence Technology (SEMAIT) MIg analyZeR (mizr) Package,"Our work towards a Structured Evaluation Methodology for Artificial Intelligence Technology (SEMAIT) aims to provide plots, tools, methods, and strategies to extract insights out of various machine learning (ML) and...",Dataset,"May 9, 2023",ark:/88434/mds2-2953,Not available,National Institute of Standards and Technology,Peter Fontana,Not available,2023-03-10 00:00:00,public,2023-04-11
Data release: Walleye Thermal Optical Habitat Area (TOHA) of selected Minnesota lakes,<p>Climate change and land use change have been shown to influence lake temperatures and water clarity in different ways. To better understand the diversity of lake responses to climate change...,Dataset,"June 1, 2023",USGS:5e5c1b4fe4b01d50924f27e1,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/0daed0840e8ebd0b9a06d7e6f1c670f1,20210721,public,Not available
Process-guided deep learning water temperature predictions: 6a Lake Mendota detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"June 1, 2023",1ebec264-80a8-4f7e-90ae-3967225b1aa3,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/12dcb6e7e95b493b062ff023a96868f5,2020-08-20,public,Not available
Predictive soil property map: Sodium adsorption ratio,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b38b82ce172707ed75b1,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/9d0acf8ac475bb57ce049175272205a1,20200827,public,Not available
Machine-learning model predictions and groundwater-quality rasters of chloride in aquifers of the Mississippi Embayment,"Groundwater is a vital resource in the Mississippi embayment of the central United States. An innovative approach using machine learning (ML) was employed to predict groundwater salinity—including specific conductance (SC),...",Dataset,"June 1, 2023",USGS:5df7eedbe4b0cdded7393f94,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/f75c78bbac8af1f41a26dad15aa5d0a3,20200821,public,Not available
Annotated fish imagery data for individual and species recognition with deep learning,"We provide annotated fish imagery data for use in deep learning models (e.g., convolutional neural networks) for individual and species recognition. For individual recognition models, the dataset consists of annotated...",Dataset,"June 1, 2023",USGS:6064bc6dd34eff1443414c28,Not available,U.S. Geological Survey,Nathaniel P Hitt,http://datainventory.doi.gov/id/dataset/5bd9f08d42a6a4ee9c7a1994a0354651,20210726,public,Not available
Data for Machine Learning Predictions of Nitrate in Groundwater Used for Drinking Supply in the Conterminous United States,A three-dimensional extreme gradient boosting (XGB) machine learning model was developed to predict the distribution of nitrate in groundwater across the conterminous United States (CONUS). Nitrate was predicted at a...,Dataset,"June 1, 2023",USGS:5fe122a7d34e30b9123f02d9,Not available,U.S. Geological Survey,Katherine M. Ransom,http://datainventory.doi.gov/id/dataset/27fec9e9fc3ddf1af9f28450a9644807,20211022,public,Not available
Process-guided deep learning water temperature predictions: 4c All lakes historical training data,Observed water temperatures from 1980-2018 were compiled for 68 lakes in Minnesota and Wisconsin (USA). These data were used as training data for process-guided deep learning models and deep learning...,Dataset,"June 1, 2023",USGS:5d8a47bce4b0c4f70d0ae61f,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/68014332af246cdc548c324408b545ad,20200820,public,Not available
"Daily surface temperature predictions for 185,549 U.S. lakes with associated observations and meteorological conditions (1980-2020)","Daily lake surface temperatures estimates for 185,549 lakes across the contiguous United States from 1980 to 2020 generated using an entity-aware long short-term memory deep learning model. In-situ measurements used...",Dataset,"May 31, 2023",5d081727-e50d-4b6b-826f-84b523e4973f,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/449efbf5c50a2686015ff725cc3525e1,2022-02-22,public,Not available
"Data for machine learning predictions of pH in the glacial aquifer system, northern USA",A boosted regression tree (BRT) model was developed to predict pH conditions in three-dimensions throughout the glacial aquifer system (GLAC) of the contiguous United States using pH measurements in samples...,Dataset,"June 1, 2023",USGS:5efe239782ce3fd7e8a82651,Not available,U.S. Geological Survey,Craig J. Brown,http://datainventory.doi.gov/id/dataset/7b0a3c85a94396bcfa583ada195fc630,20201216,public,Not available
